id,year,category,nominee,staff,company,producer,win
903,2018, Lighting Design/Lighting Direction For A Variety Special,60th Annual Grammy Awards,"Robert Dickinson, Lighting Designer Noah Mitz, Lighting Director Andy O'Reilly, Lighting Director Patrick Boozer, Lighting Director Ryan Tanker, Lighting Director",CBS,"AEG Ehrlich Ventures, LLC",False
904,2018, Lighting Design/Lighting Direction For A Variety Special,Jesus Christ Superstar Live In Concert,"Al Gurdon, Lighting Designer Travis Hagenbuch, Lighting Director Ben Green, Lighting Director Kirk J. Miller, Lighting Director Eric Christian, Lighting Director",NBC,"Universal Television, The Really Useful Group, Marc Platt Productions, Zadan/Meron Productions",True
905,2018, Lighting Design/Lighting Direction For A Variety Special,The Oscars,"Robert Dickinson, Lighting Designer Travis Hagenbuch, Lighting Director Michael Berger, Lighting Director Andy O'Reilly, Lighting Director Patrick Boozer, Lighting Director Ben Green, Lighting Director",ABC,The Academy of Motion Picture Arts and Sciences,False
906,2018, Lighting Design/Lighting Direction For A Variety Special,Super Bowl LII Halftime Show Starring Justin Timberlake,"Robert Barnhart, Lighting Designer David Grill, Lighting Director Pete Radice, Lighting Director Jason Rudolph, Lighting Director",NBC,NFL Network,False
907,2018, Lighting Design/Lighting Direction For A Variety Special,71st Annual Tony Awards,"Robert Dickinson, Lighting Designer Ed McCarthy, Lighting Director Noah Mitz, Lighting Director Harry Sangmeister, Lighting Director RJ Styles, Lighting Director",CBS,White Cherry Entertainment,False
908,2018, Main Title Design,The Alienist,"Angus Wall, Creative Director Lisa Bolan, Creative Director Yongsub Song, Animator/Compositor Charles Khoury, Animator/Compositor Heidi Berg, Art Director Felix Soletic, Designer",TNT,A Paramount Television and Turner's Studio T co-production,False
909,2018, Main Title Design,Altered Carbon,"Lisa Bolan, Creative Director Thomas McMahan, Animator/Compositor Yongsub Song, Animator/Compositor Byron Slaybaugh, Animator/Compositor Carlo Sa, Designer Mert Kizilay, Designer",Netflix,Skydance Television,False
910,2018, Main Title Design,Counterpart,"Karin Fong, Creative Director Jake Ferguson, Lead Designer/Animator Filipe Carvalho, Designer Nathan Lee, Designer Kiyoon Nam, Animator Zach Kilroy, Editor",Starz,Gilbert Films and Anonymous Content in association with MRC,True
911,2018, Main Title Design,GLOW,"Jason Groves, Creative Director/Art Director/Designer Christopher Harding, Creative Director/Art Director/Designer Richard Kenworthy, Creative Director/Art Director/Designer",Netflix,"Glitter Pictures, LLC",False
912,2018, Main Title Design,Westworld,"Patrick Clair, Creative Director Raoul Marks, Lead Animator/Lead Compositor Jose Limon, Lead CG Modeler Savva Tsekmes, Animator/Compositor",HBO,"HBO Entertainment in association with Kilter Films, Bad Robot, Warner Bros. Television",False
913,2018, Makeup For A Single-Camera Series (Non-Prosthetic),Game Of Thrones,"Jane Walker, Department Head Makeup Artist Kay Bilk, Makeup Artist Marianna Kyriacou, Makeup Artist Pamela Smyth, Makeup Artist Kate Thompson, Makeup Artist Nicola Matthews, Makeup Artist",HBO,"HBO Entertainment in association with Bighead, Littlehead; 360 Television/Startling Television",False
914,2018, Makeup For A Single-Camera Series (Non-Prosthetic),GLOW,"Lana Horochowski, Department Head Makeup Artist Maurine Burke, Key Makeup Artist Lesa Nielsen Duff, Makeup Artist Melissa Buell, Makeup Artist Kristina Frisch, Makeup Artist",Netflix,"Glitter Pictures, LLC",False
915,2018, Makeup For A Single-Camera Series (Non-Prosthetic),The Handmaid's Tale,"Burton LeBlanc, Department Head Makeup Artist Talia Reingold, Key Makeup Artist Erika Caceres, Makeup Artist",Hulu,"MGM, Hulu, The Littlefield Company, White Oak Pictures, Daniel Wilson Productions",False
916,2018, Makeup For A Single-Camera Series (Non-Prosthetic),This Is Us,"Zoe Hay, Department Head Makeup Artist Heather Plott, Assistant Department Head Makeup Artist Luis Garcia, Makeup Artist Elizabeth Hoel-Chang, Makeup Artist Tania McComas, Makeup Artist",NBC,20th Century Fox Television,False
917,2018, Makeup For A Single-Camera Series (Non-Prosthetic),Vikings,"Tom McInerney, Department Head Makeup Artist Katie Derwin, Key Makeup Artist Lizanne Proctor, Makeup Artist Ciara Scannell, Makeup Artist Deirdre Fitzgerald, Makeup Artist Kate Donnelly, Makeup Artist",HISTORY,An Octagon and Take 5 production in association with Metro-Goldwyn-Mayer,False
918,2018, Makeup For A Single-Camera Series (Non-Prosthetic),Westworld,"Elisa Marsh, Department Head Makeup Artist Allan A. Apone, Key Makeup Artist Rachel Hoke, Makeup Artist John Damiani, Makeup Artist Ron Pipes, Makeup Artist Ken Diaz, Makeup Artist",HBO,"HBO Entertainment in association with Kilter Films, Bad Robot, Warner Bros. Television",True
919,2018, Makeup For A Multi-Camera Series Or Special (Non-Prosthetic),Dancing With The Stars,"Zena Shteysel, Department Head Makeup Artist Angela Moos, Key Makeup Artist Patti Ramsey-Bortoli, Makeup Artist Sarah Woolf, Makeup Artist Julie Socash, Makeup Artist Donna Bard, Makeup Artist",ABC,BBC Studios,False
920,2018, Makeup For A Multi-Camera Series Or Special (Non-Prosthetic),Jesus Christ Superstar Live In Concert,"Joe Dulude II, Department Head Makeup Artist Angela L. Johnson, Key Makeup Artist Milagros Medina-Cerdeira, Makeup Artist La Sonya Gunter, Makeup Artist Margie Durand, Makeup Artist Andrew Sotomayor, Makeup Artist",NBC,"Universal Television, The Really Useful Group, Marc Platt Productions, Zadan/Meron Productions",False
921,2018, Makeup For A Multi-Camera Series Or Special (Non-Prosthetic),RuPaul's Drag Race,"Nicole Faulkner, Makeup Artist Jen Fregozo, Makeup Artist Natasha Marcelina, Makeup Artist David Petruschin, Personal Makeup Artist",VH1,World of Wonder Productions,False
922,2018, Makeup For A Multi-Camera Series Or Special (Non-Prosthetic),Saturday Night Live,"Louie Zakarian, Department Head Makeup Artist Amy Tagliamonti, Key Makeup Artist Jason Milani, Key Makeup Artist Rachel Pagani, Makeup Artist Sarah Egan, Makeup Artist Daniela Zivkovic, Makeup Artist",NBC,SNL Studios in association with Universal Television and Broadway Video,True
923,2018, Makeup For A Multi-Camera Series Or Special (Non-Prosthetic),The Voice,"Darcy Gilmore, Department Head Makeup Artist Kristene Bernard, Key Makeup Artist Gina Ghiglieri, Makeup Artist Kathleen Karridene, Makeup Artist",NBC,"MGM Television, Talpa Media USA, Inc., Warner Horizon Unscripted & Alternative Television",False
924,2018, Makeup For A Limited Series Or Movie (Non-Prosthetic),American Horror Story: Cult,"Eryn Krueger Mekash, Department Head Makeup Artist Kim Ayers, Assistant Department Head Makeup Artist Michael Mekash, Assistant Department Head Makeup Artist Silvina Knight, Makeup Artist Carleigh Herbert, Additional Makeup Artist",FX Networks,Twentieth Century Fox Television,False
925,2018, Makeup For A Limited Series Or Movie (Non-Prosthetic),The Assassination Of Gianni Versace: American Crime Story,"Eryn Krueger Mekash, Department Head Makeup Artist Robin Beauchesne, Department Head Makeup Artist Silvina Knight, Makeup Artist David Williams, Makeup Artist Tym Buacharern, Makeup Artist Ana Lozano, Personal Makeup Artist",FX Networks,Fox 21 Television Studios and FX Productions,True
926,2018, Makeup For A Limited Series Or Movie (Non-Prosthetic),Genius: Picasso,"Davina Lamont, Department Head Makeup Artist Hayden Bloomfield, Key Makeup Artist Szandra Biro, Key Makeup Artist Szilvia Homolya, Makeup Artist Natasha Lees, Makeup Artist",National Geographic,Imagine Television and Fox 21 Television Studios,False
