duration,converted_budget,dir_oscar_nomination,writer_oscar_nomination,cast_globe_nomination,BAFTA_act_nom,BAFTA_dir_nom,BAFTA_writer_nom,dir_emmy_nom,writer_emmy_nom,act_emmy_nom,actors_films_before,director_films_before,writers_films_before,genre,language,production_company,month_published,revenue_cluster
73.0,26240729.4,0,1,0,0,0,0,0,0,0,0,1,0,"Comedy, Romance",English,RKO,9,2
65.0,4711082.5,0,0,0,0,0,0,0,0,0,3,0,1,"Drama, Romance",English,Other,7,0
66.0,18665977.6,0,0,0,0,0,0,0,0,0,4,0,0,"Drama, Romance",English,Other,1,0
64.0,18210709.8,0,0,0,0,0,0,0,0,0,5,0,3,"Crime, Drama",English,Other,1,0
68.0,2179480.5,0,0,0,0,0,0,0,0,0,2,0,0,"Drama, Horror",English,Sony,6,0
83.0,15226429.8,0,0,0,0,0,0,0,0,0,7,0,0,"Comedy, Mystery",English,Twentieth Century Fox,8,0
73.0,7215993.8,0,0,0,0,0,0,0,0,0,6,0,0,"Drama, Romance",English,Other,5,0
78.0,9562193.3,0,0,0,0,0,0,0,0,0,0,4,1,"Adventure, Drama",English,Paramount,1,0
107.0,11836961.4,0,0,0,0,0,0,0,0,0,7,0,1,"Comedy, Musical, Romance",English,RKO,9,1
75.0,11836961.4,0,0,0,0,0,0,0,0,0,2,1,0,"Drama, Music, Romance",English,Other,11,0
68.0,7398100.9,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,English,Paramount,11,2
63.0,5549.2,0,0,0,0,0,0,0,0,0,3,0,0,"Drama, Horror, Sci-Fi",English,Other,1,3
85.0,16688977.4,0,0,0,0,0,0,0,0,0,6,0,1,"Drama, History, Romance",English,MGM,6,2
86.0,21556927.8,0,0,0,0,0,0,0,0,0,4,0,0,"Comedy, Music",English,Other,1,0
104.0,20487048.6,0,0,0,0,0,0,0,0,0,3,1,0,"Drama, History, Romance",English,Paramount,9,3
74.0,5153813.0,0,0,0,0,0,0,0,0,0,3,0,0,"Comedy, Romance",English,Other,5,0
78.0,8124000.0,0,0,0,0,0,0,0,0,0,4,0,0,"Drama, Romance",English,MGM,5,0
105.0,7591278.7,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Fantasy, Musical",German,Other,7,0
90.0,25570623.0,0,0,0,0,0,0,0,0,0,1,0,0,"Biography, Drama, Western",English,RKO,11,0
69.0,7857639.3,0,0,0,0,0,0,0,0,0,3,1,0,"Drama, Comedy",English,RKO,12,0
80.0,8190590.2,0,0,0,0,0,0,0,0,0,0,0,0,Comedy,English,Other,7,0
75.0,8812631.1,0,0,0,0,0,0,0,0,0,2,0,0,"Drama, Horror, Sci-Fi",English,Universal,5,1
82.0,8739959.0,0,0,0,0,0,0,0,0,0,3,1,0,"Comedy, Music",English,Warner,7,0
53.0,23817082.0,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Adventure, Drama",English,Other,6,2
79.0,17757377.0,0,0,0,0,0,0,0,0,0,2,2,0,"Comedy, Drama, Romance",English,Paramount,1,3
84.0,5393803.3,0,0,0,0,0,0,0,0,0,4,1,0,Comedy,English,Warner,8,0
63.0,44388605.2,0,0,0,0,0,0,0,0,0,3,0,0,Mystery,English,MGM,12,2
257.0,17357836.1,0,0,0,0,0,0,0,0,0,1,0,0,"Action, Adventure, Crime",English,Other,5,0
106.0,13540000.0,0,0,0,0,0,0,0,0,0,5,3,0,"Comedy, Musical, Romance",English,RKO,3,3
89.0,6215082.0,0,0,0,0,0,0,0,0,0,5,1,0,"Drama, Musical, Romance",English,Warner,11,0
128.0,14228098.4,0,0,0,0,0,0,0,0,0,4,3,1,"Drama, History, Romance",English,MGM,12,0
94.0,13517803.3,0,0,0,0,0,0,0,0,0,9,0,0,"Drama, Sci-Fi",English,Other,11,2
95.0,14785777.6,0,0,0,0,0,0,0,0,0,0,0,0,"Comedy, Drama, Music",Spanish,Other,10,2
92.0,26188182.7,3,0,0,0,0,0,0,0,0,0,1,1,"Comedy, Musical",English,Paramount,1,2
74.0,6364607.2,0,0,0,0,0,0,0,0,0,6,1,0,"Drama, Romance, Sport",English,Other,10,0
82.0,6349316.1,0,1,0,0,0,0,0,0,0,6,2,0,"Crime, Drama, Film-Noir",English,Warner,6,0
72.0,26363942.3,0,0,0,0,0,0,0,0,0,1,0,0,"Comedy, Crime, Mystery",English,Twentieth Century Fox,3,2
92.0,16411554.1,0,0,0,0,0,0,0,0,0,4,0,1,"Crime, Drama, Film-Noir",English,MGM,6,2
