LOCATION;Country;Subject.1;Measure.1;FREQUENCY;Frequency.1;TIME;Time.1;Reference Period Code;Value
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2018-Q1;Q1-2018;2015_100;9956464
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2018-Q2;Q2-2018;2015_100;1015648
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2018-Q3;Q3-2018;2015_100;1007509
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2018-Q4;Q4-2018;2015_100;1017747
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2019-Q1;Q1-2019;2015_100;1002305
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2019-Q2;Q2-2019;2015_100;1018919
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2019-Q3;Q3-2019;2015_100;1006844
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2019-Q4;Q4-2019;2015_100;1018695
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2020-Q1;Q1-2020;2015_100;1005918
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2020-Q2;Q2-2020;2015_100;1004829
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2020-Q3;Q3-2020;2015_100;987712
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2020-Q4;Q4-2020;2015_100;9978009
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2021-Q1;Q1-2021;2015_100;9895838
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2021-Q2;Q2-2021;2015_100;1007754
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2021-Q3;Q3-2021;2015_100;1005644
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2021-Q4;Q4-2021;2015_100;1042186
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2022-Q1;Q1-2022;2015_100;1063252
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2022-Q2;Q2-2022;2015_100;1120623
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2022-Q3;Q3-2022;2015_100;1123058
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2022-Q4;Q4-2022;2015_100;1128401
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2023-Q1;Q1-2023;2015_100;1125772
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2023-Q2;Q2-2023;2015_100;1148883
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2023-Q3;Q3-2023;2015_100;114861
GRC;Greece;CPI: 01-12 - All items;Index;Q;Quarterly;2023-Q4;Q4-2023;2015_100;1165745
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q1;Q1-1998;2015_100;417496
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q2;Q2-1998;2015_100;4314726
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q3;Q3-1998;2015_100;4328592
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;1998-Q4;Q4-1998;2015_100;4390156
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q1;Q1-1999;2015_100;457041
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q2;Q2-1999;2015_100;4707957
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q3;Q3-1999;2015_100;4787269
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;1999-Q4;Q4-1999;2015_100;4863253
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q1;Q1-2000;2015_100;5020972
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q2;Q2-2000;2015_100;5139403
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q3;Q3-2000;2015_100;5257834
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2000-Q4;Q4-2000;2015_100;5366395
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q1;Q1-2001;2015_100;5536639
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q2;Q2-2001;2015_100;5679744
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q3;Q3-2001;2015_100;5714286
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2001-Q4;Q4-2001;2015_100;5748828
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q1;Q1-2002;2015_100;5879595
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q2;Q2-2002;2015_100;5990624
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q3;Q3-2002;2015_100;5975821
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2002-Q4;Q4-2002;2015_100;6027634
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q1;Q1-2003;2015_100;6153466
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q2;Q2-2003;2015_100;6225019
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q3;Q3-2003;2015_100;6257093
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2003-Q4;Q4-2003;2015_100;6350851
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q1;Q1-2004;2015_100;6572909
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q2;Q2-2004;2015_100;668147
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q3;Q3-2004;2015_100;6693807
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2004-Q4;Q4-2004;2015_100;6723415
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q1;Q1-2005;2015_100;6807303
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q2;Q2-2005;2015_100;6930669
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q3;Q3-2005;2015_100;6938071
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2005-Q4;Q4-2005;2015_100;6945473
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q1;Q1-2006;2015_100;6980015
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q2;Q2-2006;2015_100;7113249
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q3;Q3-2006;2015_100;7224278
HUN;Hungary;CPI: 01-12 - All items;Index;Q;Quarterly;2006-Q4;Q4-2006;2015_100;7389588
